U-Turn Detection Debug Log
==================================================
Checking 6 -> 17: Travel = 0.36m, Straight = 0.31m
Checking 6 -> 18: Travel = 0.38m, Straight = 0.33m
Checking 6 -> 19: Travel = 0.39m, Straight = 0.34m
Checking 6 -> 20: Travel = 0.39m, Straight = 0.34m
Checking 6 -> 21: Travel = 0.40m, Straight = 0.34m
Checking 6 -> 22: Travel = 0.41m, Straight = 0.35m
Checking 6 -> 23: Travel = 0.41m, Straight = 0.35m
Checking 6 -> 24: Travel = 0.42m, Straight = 0.36m
Checking 6 -> 25: Travel = 0.42m, Straight = 0.36m
Checking 6 -> 26: Travel = 0.43m, Straight = 0.37m
Checking 6 -> 27: Travel = 0.50m, Straight = 0.43m
Checking 6 -> 28: Travel = 0.50m, Straight = 0.43m
Checking 6 -> 29: Travel = 0.53m, Straight = 0.46m
Checking 6 -> 30: Travel = 0.59m, Straight = 0.51m
Checking 6 -> 31: Travel = 0.59m, Straight = 0.51m
Checking 6 -> 32: Travel = 0.65m, Straight = 0.57m
Checking 6 -> 33: Travel = 0.66m, Straight = 0.58m
Checking 6 -> 34: Travel = 0.69m, Straight = 0.61m
Checking 6 -> 35: Travel = 0.71m, Straight = 0.62m
Checking 6 -> 36: Travel = 0.74m, Straight = 0.66m
Checking 6 -> 37: Travel = 0.80m, Straight = 0.71m
Checking 6 -> 38: Travel = 0.80m, Straight = 0.71m
Checking 6 -> 39: Travel = 0.81m, Straight = 0.72m
Checking 6 -> 40: Travel = 0.92m, Straight = 0.83m
Checking 6 -> 41: Travel = 0.92m, Straight = 0.83m
Checking 6 -> 42: Travel = 0.93m, Straight = 0.84m
Checking 6 -> 43: Travel = 0.94m, Straight = 0.85m
Checking 6 -> 44: Travel = 0.99m, Straight = 0.90m
Checking 6 -> 45: Travel = 1.10m, Straight = 0.99m
Checking 6 -> 46: Travel = 1.12m, Straight = 1.02m
Checking 6 -> 47: Travel = 1.13m, Straight = 1.02m
Checking 6 -> 48: Travel = 1.31m, Straight = 1.20m
Checking 6 -> 49: Travel = 1.37m, Straight = 1.26m
