U-Turn Detection Debug Log
==================================================
Checking 6 -> 36: Travel = 0.68m, Straight = 0.53m
Checking 6 -> 37: Travel = 0.69m, Straight = 0.55m
Checking 6 -> 38: Travel = 0.79m, Straight = 0.62m
Checking 6 -> 39: Travel = 0.85m, Straight = 0.68m
Checking 6 -> 40: Travel = 0.88m, Straight = 0.71m
Checking 6 -> 41: Travel = 0.95m, Straight = 0.78m
Checking 6 -> 42: Travel = 1.02m, Straight = 0.85m
Checking 6 -> 43: Travel = 1.10m, Straight = 0.92m
Checking 6 -> 44: Travel = 1.20m, Straight = 1.01m
Checking 6 -> 45: Travel = 1.22m, Straight = 1.02m
Checking 6 -> 46: Travel = 1.23m, Straight = 1.03m
Checking 6 -> 47: Travel = 1.31m, Straight = 0.97m
Checking 6 -> 48: Travel = 1.36m, Straight = 0.92m
Checking 6 -> 49: Travel = 1.40m, Straight = 0.89m
Checking 6 -> 50: Travel = 1.41m, Straight = 0.87m
Checking 6 -> 51: Travel = 1.43m, Straight = 0.86m
Checking 6 -> 52: Travel = 1.49m, Straight = 0.80m
Checking 6 -> 53: Travel = 1.54m, Straight = 0.75m
Checking 6 -> 54: Travel = 1.56m, Straight = 0.73m
Checking 6 -> 55: Travel = 1.59m, Straight = 0.70m
Checking 6 -> 56: Travel = 1.63m, Straight = 0.67m
Checking 6 -> 57: Travel = 1.67m, Straight = 0.63m
Checking 6 -> 58: Travel = 1.71m, Straight = 0.59m
Checking 6 -> 59: Travel = 1.79m, Straight = 0.53m
Checking 6 -> 60: Travel = 1.81m, Straight = 0.52m
Checking 6 -> 61: Travel = 1.85m, Straight = 0.55m
Checking 6 -> 62: Travel = 1.94m, Straight = 0.64m
Checking 6 -> 63: Travel = 1.94m, Straight = 0.65m
Checking 6 -> 64: Travel = 1.95m, Straight = 0.65m
Checking 6 -> 65: Travel = 1.95m, Straight = 0.65m
Checking 6 -> 66: Travel = 2.00m, Straight = 0.67m
Checking 6 -> 67: Travel = 2.05m, Straight = 0.62m
Checking 7 -> 17: Travel = 0.21m, Straight = 0.21m
